StateAbbr,CountyName,TractFIPS,CHD_CrudePrev,CHD_Crude95CI
TX,Bexar,48029150700,7.7,"( 6.7,  8.8)"
TX,Bexar,48029150800,10.9,"( 9.8, 12.1)"
TX,Bexar,48029150900,8.4,"( 7.5,  9.5)"
TX,Bexar,48029151000,7.5,"( 6.6,  8.4)"
TX,Bexar,48029151100,9.4,"( 8.4, 10.5)"
TX,Bexar,48029151200,6.3,"( 5.5,  7.1)"
TX,Bexar,48029151301,7.7,"( 6.8,  8.6)"
TX,Bexar,48029151302,6.6,"( 5.9,  7.4)"
TX,Bexar,48029151400,7.1,"( 6.2,  8.0)"
TX,Bexar,48029151500,7.2,"( 6.4,  8.0)"
TX,Bexar,48029151600,6.2,"( 5.5,  7.0)"
TX,Bexar,48029151700,6.3,"( 5.6,  7.0)"
TX,Bexar,48029151900,5.1,"( 4.5,  5.7)"
TX,Bexar,48029152000,3.6,"( 3.2,  4.1)"
TX,Bexar,48029152100,6.6,"( 5.8,  7.3)"
TX,Bexar,48029152201,6.8,"( 6.0,  7.6)"
TX,Bexar,48029152202,5.4,"( 4.8,  6.0)"
TX,Bexar,48029160100,8.4,"( 7.4,  9.5)"
TX,Bexar,48029160200,7.7,"( 6.8,  8.8)"
TX,Bexar,48029160300,7.9,"( 7.0,  9.1)"
TX,Bexar,48029160400,8.8,"( 7.8,  9.9)"
TX,Bexar,48029160501,10.8,"( 9.7, 11.9)"
TX,Bexar,48029160502,8.8,"( 7.9,  9.9)"
TX,Bexar,48029160600,8.9,"( 7.8, 10.1)"
TX,Bexar,48029160701,9.3,"( 8.2, 10.5)"
TX,Bexar,48029160702,10.0,"( 8.9, 11.2)"
TX,Bexar,48029160901,8.3,"( 7.2,  9.4)"
TX,Bexar,48029160902,7.8,"( 6.8,  8.8)"
TX,Bexar,48029161000,8.5,"( 7.5,  9.5)"
TX,Bexar,48029161100,6.9,"( 6.1,  7.9)"
TX,Bexar,48029161200,5.8,"( 5.2,  6.5)"
TX,Bexar,48029161302,6.5,"( 5.7,  7.3)"
TX,Bexar,48029161303,7.6,"( 6.6,  8.6)"
TX,Bexar,48029161304,7.0,"( 6.1,  7.9)"
TX,Bexar,48029161400,0.9,"( 0.7,  1.0)"
TX,Bexar,48029161501,7.9,"( 6.9,  8.8)"
TX,Bexar,48029161503,6.1,"( 5.4,  6.9)"
TX,Bexar,48029161504,5.8,"( 5.1,  6.6)"
TX,Bexar,48029161600,7.2,"( 6.3,  8.1)"
TX,Bexar,48029161801,5.4,"( 4.7,  6.0)"
TX,Bexar,48029161802,4.7,"( 4.2,  5.3)"
TX,Bexar,48029161901,7.1,"( 6.4,  7.9)"
TX,Bexar,48029161902,4.0,"( 3.6,  4.5)"
TX,Bexar,48029162001,7.5,"( 6.7,  8.3)"
TX,Bexar,48029162003,6.5,"( 5.8,  7.2)"
TX,Bexar,48029162004,6.2,"( 5.5,  7.0)"
TX,Bexar,48029170101,8.6,"( 7.6,  9.6)"
TX,Bexar,48029170102,9.8,"( 8.5, 11.0)"
TX,Bexar,48029170200,11.7,"(10.3, 13.2)"
TX,Bexar,48029170300,8.0,"( 7.0,  9.0)"
TX,Bexar,48029170401,8.5,"( 7.5,  9.5)"
TX,Bexar,48029170402,8.7,"( 7.6,  9.8)"
TX,Bexar,48029170500,7.8,"( 6.8,  8.9)"
TX,Bexar,48029170600,7.0,"( 6.1,  8.0)"
TX,Bexar,48029170700,8.7,"( 7.7,  9.9)"
TX,Bexar,48029170800,10.0,"( 9.0, 11.1)"
TX,Bexar,48029170900,10.2,"( 9.1, 11.5)"
TX,Bexar,48029171000,9.7,"( 8.5, 11.0)"
TX,Bexar,48029171100,9.2,"( 8.0, 10.5)"
TX,Bexar,48029171200,8.9,"( 7.8, 10.0)"
TX,Bexar,48029171301,8.2,"( 7.2,  9.4)"
TX,Bexar,48029171302,7.1,"( 6.2,  8.0)"
TX,Bexar,48029171401,6.0,"( 5.2,  6.7)"
TX,Bexar,48029171402,7.2,"( 6.4,  8.0)"
TX,Bexar,48029171501,9.9,"( 8.7, 11.2)"
TX,Bexar,48029171502,8.9,"( 7.9, 10.1)"
TX,Bexar,48029171601,7.1,"( 6.3,  8.0)"
TX,Bexar,48029171602,6.4,"( 5.7,  7.1)"
TX,Bexar,48029171700,6.7,"( 5.9,  7.5)"
TX,Bexar,48029171801,6.5,"( 5.8,  7.4)"
TX,Bexar,48029171802,7.3,"( 6.5,  8.2)"
TX,Bexar,48029171903,6.4,"( 5.7,  7.2)"
TX,Bexar,48029171912,4.0,"( 3.5,  4.5)"
TX,Bexar,48029171913,4.9,"( 4.4,  5.5)"
TX,Bexar,48029171914,5.4,"( 4.8,  6.0)"
TX,Bexar,48029171915,7.2,"( 6.4,  8.0)"
TX,Bexar,48029171916,3.7,"( 3.3,  4.1)"
TX,Bexar,48029171917,4.1,"( 3.6,  4.6)"
TX,Bexar,48029171918,3.7,"( 3.3,  4.1)"
TX,Bexar,48029171919,3.1,"( 2.7,  3.5)"
TX,Bexar,48029171920,4.5,"( 4.0,  5.0)"
TX,Bexar,48029171921,4.9,"( 4.3,  5.5)"
TX,Bexar,48029171922,3.2,"( 2.8,  3.6)"
TX,Bexar,48029171923,4.1,"( 3.6,  4.6)"
TX,Bexar,48029171924,3.6,"( 3.2,  4.1)"
TX,Bexar,48029171926,2.9,"( 2.6,  3.2)"
TX,Bexar,48029171927,3.9,"( 3.5,  4.3)"
TX,Bexar,48029171928,4.0,"( 3.5,  4.4)"
TX,Bexar,48029171929,6.2,"( 5.5,  6.9)"
TX,Bexar,48029172002,4.0,"( 3.6,  4.5)"
TX,Bexar,48029172003,3.9,"( 3.5,  4.4)"
TX,Bexar,48029172004,5.7,"( 5.0,  6.5)"
TX,Bexar,48029172005,3.9,"( 3.4,  4.4)"
TX,Bexar,48029172006,3.7,"( 3.3,  4.2)"
TX,Bexar,48029172008,3.3,"( 2.9,  3.7)"
TX,Bexar,48029172009,3.4,"( 3.0,  3.9)"
TX,Bexar,48029180101,6.8,"( 6.0,  7.5)"
TX,Bexar,48029180102,5.0,"( 4.4,  5.6)"
TX,Bexar,48029180201,7.3,"( 6.5,  8.3)"
TX,Bexar,48029180202,8.6,"( 7.5,  9.7)"
TX,Bexar,48029180300,8.0,"( 7.0,  9.1)"
TX,Bexar,48029180400,7.4,"( 6.5,  8.4)"
TX,Bexar,48029180501,10.8,"( 9.6, 12.1)"
TX,Bexar,48029180503,7.7,"( 6.8,  8.8)"
TX,Bexar,48029180504,8.4,"( 7.4,  9.5)"
TX,Bexar,48029180602,8.6,"( 7.5,  9.6)"
TX,Bexar,48029180603,5.4,"( 4.8,  6.0)"
TX,Bexar,48029180604,7.4,"( 6.5,  8.3)"
TX,Bexar,48029180701,5.5,"( 4.9,  6.2)"
TX,Bexar,48029180702,6.6,"( 5.9,  7.4)"
TX,Bexar,48029180800,8.0,"( 7.2,  8.9)"
TX,Bexar,48029180901,6.5,"( 5.7,  7.3)"
TX,Bexar,48029180902,6.6,"( 5.9,  7.5)"
TX,Bexar,48029181001,6.8,"( 6.0,  7.7)"
TX,Bexar,48029181003,4.3,"( 3.8,  4.8)"
TX,Bexar,48029181004,4.1,"( 3.6,  4.6)"
TX,Bexar,48029181005,6.1,"( 5.5,  6.7)"
TX,Bexar,48029181100,6.0,"( 5.2,  6.8)"
TX,Bexar,48029181200,5.9,"( 5.1,  6.7)"
TX,Bexar,48029181301,4.4,"( 3.9,  4.9)"
TX,Bexar,48029181302,4.2,"( 3.7,  4.7)"
TX,Bexar,48029181303,5.0,"( 4.5,  5.6)"
TX,Bexar,48029181402,4.1,"( 3.6,  4.7)"
TX,Bexar,48029181403,4.2,"( 3.8,  4.7)"
TX,Bexar,48029181404,4.1,"( 3.6,  4.6)"
TX,Bexar,48029181503,5.1,"( 4.5,  5.8)"
TX,Bexar,48029181504,3.7,"( 3.3,  4.1)"
TX,Bexar,48029181505,5.4,"( 4.8,  6.0)"
TX,Bexar,48029181506,7.6,"( 6.7,  8.6)"
TX,Bexar,48029181601,8.3,"( 7.4,  9.3)"
TX,Bexar,48029181602,6.6,"( 5.9,  7.4)"
TX,Bexar,48029181703,5.1,"( 4.4,  5.8)"
TX,Bexar,48029181704,5.8,"( 5.2,  6.4)"
TX,Bexar,48029181705,3.8,"( 3.4,  4.2)"
TX,Bexar,48029181711,4.5,"( 4.0,  5.1)"
TX,Bexar,48029181712,5.5,"( 4.9,  6.3)"
TX,Bexar,48029181713,4.9,"( 4.3,  5.5)"
TX,Bexar,48029181715,5.0,"( 4.5,  5.7)"
TX,Bexar,48029181716,4.1,"( 3.6,  4.7)"
TX,Bexar,48029181718,5.0,"( 4.4,  5.6)"
TX,Bexar,48029181720,4.4,"( 3.9,  5.0)"
TX,Bexar,48029181721,4.3,"( 3.8,  4.9)"
TX,Bexar,48029181722,5.0,"( 4.4,  5.6)"
TX,Bexar,48029181723,5.0,"( 4.4,  5.6)"
TX,Bexar,48029181724,3.6,"( 3.2,  4.0)"
TX,Bexar,48029181725,4.9,"( 4.4,  5.5)"
TX,Bexar,48029181726,2.9,"( 2.6,  3.2)"
TX,Bexar,48029181727,5.7,"( 5.1,  6.4)"
TX,Bexar,48029181729,2.6,"( 2.3,  2.9)"
TX,Bexar,48029181730,5.9,"( 5.2,  6.6)"
TX,Bexar,48029181731,5.4,"( 4.7,  6.1)"
