name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Texas Vertical Farming,"116 Randy Rd, Waxahachie, TX 75165, USA",32.4774247,-96.8025513,Not listed,"establishment, point_of_interest",ChIJI4K3aqDrToYR9Pling03mQI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambius,"12100 Crownpoint Dr #115, San Antonio, TX 78233, USA",29.55087779999999,-98.3658938,https://www.ambius.com/locations/texas/san-antonio?utm_source=google&utm_medium=gbp&utm_campaign=eg_listing_lg,"establishment, florist, general_contractor, point_of_interest, store",ChIJ25GQV-iMXIYR7Cr1ON8WOPs,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Farmyard,"30250 Leroy Scheel Rd, Bulverde, TX 78163, USA",29.7446627,-98.4858272,http://www.thefarmyard.org/,"establishment, point_of_interest, zoo",ChIJdVVmNX59XIYRAzo-cjTnEHI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owl Creek Farm,"12355 Military Dr W, San Antonio, TX 78253, USA",29.4416076,-98.7334006,http://owlcreekfarmsa.com/,"establishment, point_of_interest, tourist_attraction, travel_agency, zoo",ChIJ1XTVa8RDXIYRy_QIo9XzxLc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvary Farms,"4231 Stuart Rd, Adkins, TX 78101, USA",29.3830912,-98.2888506,https://www.calvaryfarms.org/,"establishment, point_of_interest",ChIJn8rDu9VyEIkRoxZv7IV5iSA,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Tank Hollow,"12726 Dovetail Dr, San Antonio, TX 78253, USA",29.4465765,-98.745643,Not listed,"establishment, point_of_interest, school",ChIJUfZikd9DXIYRWsvyWYU4bnE,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature Springs Farm,"6931 Signature St, San Antonio, TX 78263, USA",29.35492649999999,-98.3028094,http://signaturespringsfarm.com/,"establishment, point_of_interest",ChIJL7IEAP_vXIYRR8vK0TYZFFo,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behind the Oaks Farm,"Greaves Ln, Schertz, TX 78154, USA",29.5149312,-98.2583637,https://www.behindtheoaksfarm.com/,"establishment, point_of_interest",ChIJNWYUa_vtXIYRejroKySd9mg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.7537576,http://bontonfarms.org/,"establishment, point_of_interest",ChIJn7-J6wuYToYRL2NAvMPqb8k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Heart Farm,"19320 FM1937, San Antonio, TX 78221, USA",29.23225009999999,-98.4563396,Not listed,"establishment, point_of_interest",ChIJpRp-Bzr_XIYRBbgqMG-DmZw,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoney Farms,"9403-9427 Kirk Pond, San Antonio, TX 78240, USA",29.53094949999999,-98.6204018,Not listed,"establishment, point_of_interest",ChIJNe5xQZ9nXIYRFNAOIxlIhQc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Grove Farms,"1326 Austin Hwy, San Antonio, TX 78209, USA",29.4902597,-98.4410068,Not listed,"establishment, point_of_interest",ChIJDYb5CuL0XIYRuwjL-zi8Noc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan's Microgreens,"3105 Nogalitos St, San Antonio, TX 78225, USA",29.3854135,-98.5250074,http://pansmicrogreens.com/,"establishment, food, point_of_interest",ChIJO7TNW9dZXIYREaNaOa7PPkg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viva Microgreens,"11627 Bandera Rd, San Antonio, TX 78250, USA",29.5508025,-98.6643372,https://www.facebook.com/viva.microgreens,"establishment, point_of_interest",ChIJ1Yn0KJlpXIYRVB91rnup6To,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIVA Microgreens,"3314 Rock Creek Run, San Antonio, TX 78230, USA",29.5200384,-98.5490433,Not listed,"establishment, point_of_interest",ChIJKdwpRKFhXIYRnPy9N2qkkLc,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talise Microgreens LLC,"17811 Davenport Rd suite 52, Dallas, TX 75252, USA",32.9916954,-96.7947044,Not listed,"establishment, point_of_interest",ChIJG_SzingjTIYRtde756JMl9E,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Connection of North San Antonio, LLC","2815 N Loop 1604 E #118, San Antonio, TX 78232, USA",29.6044956,-98.4439047,http://www.thefarmconnection.org/,"establishment, point_of_interest",ChIJd9i1VEKLXIYRD0vYooQAcR4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicroDaddy Microgreens,"Emerson Wy, St Hedwig, TX 78152, USA",29.4815062,-98.2163583,https://microdaddygreens.com/,"establishment, food, health, point_of_interest, store",ChIJZ13wsfHrXIYRwc0gy4aJMdg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranch Roots Market,"12540 Bandera Rd Ste 105, Helotes, TX 78023, USA",29.5609482,-98.678297,https://ranchrootsmarket.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJm0nU2KRpXIYRqgge3wlSk-s,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osiris Microgreens,"1458 Riptide, San Antonio, TX 78264, USA",29.1426746,-98.4743743,https://www.facebook.com/Osirismicrogreens,"establishment, food, point_of_interest",ChIJ7ZstzMoBXYYRvTByIo_VA_Q,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Ground Flower Farm,"854 Rio Ranchero Rd, Pipe Creek, TX 78063, USA",29.6525099,-98.9631358,https://www.ggflowerfarm.com/,"establishment, point_of_interest",ChIJE119la4RXIYR2Cjx_QVxEmI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnosky Family Farm & Market,"13977 Farm to Market Rd 2325, Blanco, TX 78606, USA",30.112897,-98.304395,https://www.instagram.com/arnoskyfamilyfarms/,"establishment, point_of_interest",ChIJ9bIjmtlvW4YRQFUPGMMDeuk,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeper Flower Farm,"270 Winningkoff Rd, Lucas, TX 75002, USA",33.0891602,-96.5680997,http://www.keeperflowerfarm.com/,"establishment, point_of_interest",ChIJ-9EeN8APTIYRoL3HHeOlacg,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
