Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,ObjectId
1098039,El Rancho 1625,4121 Gaston Ave,Dallas,TX,75246,1410,DALLAS,Super Store,32.794472,-96.776222,86148
1098822,Nanak Subzi Mandi,4550 W Buckingham Rd,Garland,TX,75042,4575,DALLAS,Grocery Store,32.930122,-96.701843,86208
1049231,Walmart 5624,13100 Josey Ln,Dallas,TX,75234,6351,DALLAS,Super Store,32.923492,-96.88031,86703
1298703,Migalitos 5,3160 Saturn Rd,Garland,TX,75041,4317,DALLAS,Grocery Store,32.877686,-96.648178,87050
1298823,Whole Foods Market 10627,6471 N MacArthur,Irving,TX,75039,    ,DALLAS,Super Store,32.896717,-96.959,87060
1051838,Kroger 509,4901 Maple Ave,Dallas,TX,75235,8210,DALLAS,Super Store,32.815002,-96.828667,90348
1106209,Dallas Superstore,3212 N Jupiter Rd,Garland,TX,75044,6581,DALLAS,Super Store,32.947323,-96.681335,91926
1107005,Whole Foods Market 10473,5100 Belt Line Rd,Addison,TX,75254,    ,DALLAS,Super Store,32.953911,-96.822639,91971
1109094,Walmart Neighborhood Market 3015,2827 S Buckner Blvd,Dallas,TX,75227,6906,DALLAS,Super Store,32.75993,-96.684471,93125
1134811,Walmart Supercenter 5810,7075 W Wheatland Rd,Dallas,TX,75249,1067,DALLAS,Super Store,32.647285,-96.945534,93363
1058021,ALDI 75043,3128 Forest Ln,Dallas,TX,75234,7005,DALLAS,Supermarket,32.908802,-96.870644,93513
1058023,ALDI 75063,805 E Beltline Rd,Cedar Hill,TX,75234,    ,DALLAS,Supermarket,32.590012,-96.924713,93514
897957,El Rancho 1616,4450 W Jefferson Blvd,Dallas,TX,75211,4623,DALLAS,Super Store,32.73634,-96.892212,94731
898197,Target Store 255,3333 W Airport Fwy,Irving,TX,75062,5992,DALLAS,Super Store,32.838238,-96.991112,94834
898228,Target Store 1850,3730 Belt Line Rd,Addison,TX,75001,4301,DALLAS,Super Store,32.95118,-96.854233,94891
1137421,El Rancho 1628,2770 Valwood Pkwy,Dallas,TX,75234,3530,DALLAS,Super Store,32.937325,-96.888084,95326
1179253,Jtc Bless Import,9220 Skillman St,Dallas,TX,75243,7325,DALLAS,Super Store,32.902676,-96.71476,95800
1016239,Walmart Supercenter 5823,6185 Retail Rd,Dallas,TX,75231,7807,DALLAS,Super Store,32.861755,-96.754166,96285
1110794,Trader Joe's 403,2001 Greenville Ave,Dallas,TX,75206,7123,DALLAS,Supermarket,32.814808,-96.770515,96312
1151501,Trader Joe's 405,5550 W Lovers Ln,Dallas,TX,75209,4268,DALLAS,Supermarket,32.851162,-96.818413,98317
1079419,Sprouts Farmers Market 126,1800 N Henderson Ave,Dallas,TX,75206,7525,DALLAS,Supermarket,32.810452,-96.773384,98558
1153959,WinCo Foods 124,800 S Cockrell Hill Rd,Duncanville,TX,75137,2622,DALLAS,Supermarket,32.644829,-96.891296,99111
1152356,Walmart Supercenter 5673,8015 Woodbridge Parkway,Sachse,TX,75048,    ,DALLAS,Super Store,32.974319,-96.568863,99527
1153192,ALDI 75074,102 W Pleasant Run Rd,Desoto,TX,75115,3910,DALLAS,Supermarket,32.604092,-96.857628,99998
1238904,Irving Subzi Mandi Inc,10010 N Macarthur Blvd,Irving,TX,75063,5001,DALLAS,Grocery Store,32.941021,-96.95195,100391
1084753,Walmart Supercenter 5889,9410 Webb Chapel Rd,Dallas,TX,75220,4936,DALLAS,Super Store,32.862423,-96.857307,102601
1239406,Trader Joe's 400,4525 Cole Ave,Dallas,TX,75205,4277,DALLAS,Supermarket,32.822384,-96.789413,102676
964690,Vitamin Cottage Natural Food Markets Inc U039,11661 Preston Rd,Dallas,TX,75230,6173,DALLAS,Supermarket,32.908443,-96.805611,103098
964736,India Import Supermarket,2521 W Airport Fwy,Irving,TX,75062,6018,DALLAS,Supermarket,32.838654,-96.979576,103432
1025752,Ann's Health Food Center & Market,2634 S Zang Blvd,Dallas,TX,75224,2816,DALLAS,Grocery Store,32.715549,-96.830177,105373
1118472,Walmart Supercenter 3014,200 Short Blvd,Dallas,TX,75232,1300,DALLAS,Super Store,32.683762,-96.825348,105513
1124481,Grocery Services North 3,6921 Lake June Rd,Dallas,TX,75217,1325,DALLAS,Grocery Store,32.734432,-96.702873,108320
1124484,Grocery Services North 4,1050 N Westmoreland Rd,Dallas,TX,75211,2411,DALLAS,Grocery Store,32.755562,-96.873985,108321
1125308,Walmart Neighborhood Market 2433,101 W Buckingham Rd,Garland,TX,75040,4646,DALLAS,Super Store,32.93195,-96.631721,108413
1077073,Kroger 529,4241 Capitol Ave,Dallas,TX,75204,    ,DALLAS,Super Store,32.806561,-96.78891,109002
1208585,WinCo Foods 131,1122 W Centerville Rd,Garland,TX,75041,5998,DALLAS,Supermarket,32.857647,-96.646561,109382
1218121,Walmart Supercenter 8930,15757 Coit Rd,Dallas,TX,75248,    ,DALLAS,Super Store,32.963451,-96.76899,110384
1216467,World Food Warehouse,13434 Floyd Cir,Dallas,TX,75243,1504,DALLAS,Supermarket,32.930676,-96.745796,110473
1215803,Trader Joe's 407,14856 Preston Rd,Dallas,TX,75254,6846,DALLAS,Supermarket,32.95055,-96.803429,110517
1220898,99 Ranch Market 105,2532 Old Denton Rd,Carrollton,TX,75006,1347,DALLAS,Super Store,32.980339,-96.909798,111065
1126763,Walmart Neighborhood Market 4046,1855 S Garland Ave,Garland,TX,75040,7648,DALLAS,Super Store,32.896168,-96.650116,112292
1027448,La Michoacana Meat Market 37,8707 E R L Thornton Fwy,Dallas,TX,75228,7113,DALLAS,Super Store,32.795849,-96.693207,112506
1673308,Joe V's Smart Shop 815,2407 W Airport Fwy,Irving,TX,75062,6016,DALLAS,Supermarket,32.838634,-96.977585,114621
1673353,H MART HARRY HINES LLC.,2534 Royal Ln,Dallas,TX,75229,3479,DALLAS,Super Store,32.894924,-96.894676,114966
1224164,Walmart Neighborhood Market 3204,820 E Belt Line Rd,Cedar Hill,TX,75104,2215,DALLAS,Super Store,32.58976,-96.92469,115505
