GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US48201241201,Census Tract 2412.01; Harris County; Texas,3062,526
1400000US48201241202,Census Tract 2412.02; Harris County; Texas,5511,824
1400000US48201241301,Census Tract 2413.01; Harris County; Texas,5161,684
1400000US48201241302,Census Tract 2413.02; Harris County; Texas,8982,2754
1400000US48201241400,Census Tract 2414; Harris County; Texas,10417,1212
1400000US48201241501,Census Tract 2415.01; Harris County; Texas,4295,872
1400000US48201241502,Census Tract 2415.02; Harris County; Texas,2390,709
1400000US48201241503,Census Tract 2415.03; Harris County; Texas,2644,820
1400000US48201250101,Census Tract 2501.01; Harris County; Texas,3983,1028
1400000US48201250102,Census Tract 2501.02; Harris County; Texas,5534,787
1400000US48201250201,Census Tract 2502.01; Harris County; Texas,7894,1516
1400000US48201250202,Census Tract 2502.02; Harris County; Texas,2312,886
1400000US48201250303,Census Tract 2503.03; Harris County; Texas,3416,658
1400000US48201250304,Census Tract 2503.04; Harris County; Texas,11105,1470
1400000US48201250305,Census Tract 2503.05; Harris County; Texas,5769,891
1400000US48201250306,Census Tract 2503.06; Harris County; Texas,3936,300
1400000US48201250403,Census Tract 2504.03; Harris County; Texas,4543,558
1400000US48201250404,Census Tract 2504.04; Harris County; Texas,5041,598
1400000US48201250405,Census Tract 2504.05; Harris County; Texas,9951,2687
1400000US48201250406,Census Tract 2504.06; Harris County; Texas,4836,482
1400000US48201250407,Census Tract 2504.07; Harris County; Texas,10145,1011
1400000US48201250408,Census Tract 2504.08; Harris County; Texas,17485,1663
1400000US48201250500,Census Tract 2505; Harris County; Texas,5469,666
1400000US48201250601,Census Tract 2506.01; Harris County; Texas,3429,486
1400000US48201250602,Census Tract 2506.02; Harris County; Texas,4634,768
1400000US48201250701,Census Tract 2507.01; Harris County; Texas,7051,1612
1400000US48201250702,Census Tract 2507.02; Harris County; Texas,4136,345
1400000US48201250801,Census Tract 2508.01; Harris County; Texas,3576,367
1400000US48201250802,Census Tract 2508.02; Harris County; Texas,4597,883
1400000US48201250901,Census Tract 2509.01; Harris County; Texas,4067,1151
1400000US48201250902,Census Tract 2509.02; Harris County; Texas,5784,692
1400000US48201251000,Census Tract 2510; Harris County; Texas,3410,441
1400000US48201251100,Census Tract 2511; Harris County; Texas,7435,1367
1400000US48201251200,Census Tract 2512; Harris County; Texas,6260,1045
1400000US48201251300,Census Tract 2513; Harris County; Texas,7242,628
1400000US48201251401,Census Tract 2514.01; Harris County; Texas,2975,384
1400000US48201251402,Census Tract 2514.02; Harris County; Texas,6730,1511
1400000US48201251501,Census Tract 2515.01; Harris County; Texas,6877,645
1400000US48201251503,Census Tract 2515.03; Harris County; Texas,2767,775
1400000US48201251504,Census Tract 2515.04; Harris County; Texas,5612,1031
1400000US48201251505,Census Tract 2515.05; Harris County; Texas,3839,447
1400000US48201251600,Census Tract 2516; Harris County; Texas,7420,1886
1400000US48201251701,Census Tract 2517.01; Harris County; Texas,4631,653
1400000US48201251702,Census Tract 2517.02; Harris County; Texas,3949,552
1400000US48201251800,Census Tract 2518; Harris County; Texas,1813,345
1400000US48201251902,Census Tract 2519.02; Harris County; Texas,7899,1253
1400000US48201251903,Census Tract 2519.03; Harris County; Texas,4395,817
1400000US48201251904,Census Tract 2519.04; Harris County; Texas,7486,1521
1400000US48201252001,Census Tract 2520.01; Harris County; Texas,7718,2225
1400000US48201252002,Census Tract 2520.02; Harris County; Texas,6630,1380
1400000US48201252003,Census Tract 2520.03; Harris County; Texas,10901,1513
1400000US48201252100,Census Tract 2521; Harris County; Texas,3992,701
1400000US48201252201,Census Tract 2522.01; Harris County; Texas,5108,1090
1400000US48201252202,Census Tract 2522.02; Harris County; Texas,6921,1548
1400000US48201252303,Census Tract 2523.03; Harris County; Texas,5424,1273
1400000US48201252304,Census Tract 2523.04; Harris County; Texas,4171,1537
1400000US48201252305,Census Tract 2523.05; Harris County; Texas,6067,691
1400000US48201252306,Census Tract 2523.06; Harris County; Texas,10710,3116
1400000US48201252400,Census Tract 2524; Harris County; Texas,6395,1033
1400000US48201252500,Census Tract 2525; Harris County; Texas,4545,968
1400000US48201252601,Census Tract 2526.01; Harris County; Texas,3589,1055
1400000US48201252602,Census Tract 2526.02; Harris County; Texas,3860,1015
1400000US48201252700,Census Tract 2527; Harris County; Texas,5593,932
1400000US48201252800,Census Tract 2528; Harris County; Texas,6690,957
1400000US48201252901,Census Tract 2529.01; Harris County; Texas,2268,348
1400000US48201252902,Census Tract 2529.02; Harris County; Texas,6326,1241
1400000US48201253000,Census Tract 2530; Harris County; Texas,4911,996
1400000US48201253101,Census Tract 2531.01; Harris County; Texas,6234,755
1400000US48201253102,Census Tract 2531.02; Harris County; Texas,8338,991
1400000US48201253201,Census Tract 2532.01; Harris County; Texas,6367,826
1400000US48201253202,Census Tract 2532.02; Harris County; Texas,5206,921
1400000US48201253300,Census Tract 2533; Harris County; Texas,3682,682
1400000US48201253501,Census Tract 2535.01; Harris County; Texas,8875,2005
1400000US48201253502,Census Tract 2535.02; Harris County; Texas,3665,1304
1400000US48201253601,Census Tract 2536.01; Harris County; Texas,4254,885
1400000US48201253602,Census Tract 2536.02; Harris County; Texas,4180,628
1400000US48201253700,Census Tract 2537; Harris County; Texas,6116,947
1400000US48201253800,Census Tract 2538; Harris County; Texas,7805,1178
1400000US48201253900,Census Tract 2539; Harris County; Texas,4042,803
1400000US48201254000,Census Tract 2540; Harris County; Texas,3662,410
1400000US48201254100,Census Tract 2541; Harris County; Texas,6168,1031
1400000US48201254200,Census Tract 2542; Harris County; Texas,2570,308
1400000US48201254300,Census Tract 2543; Harris County; Texas,5272,796
1400000US48201254400,Census Tract 2544; Harris County; Texas,2594,557
1400000US48201254600,Census Tract 2546; Harris County; Texas,3419,703
1400000US48201254700,Census Tract 2547; Harris County; Texas,2665,404
1400000US48201254800,Census Tract 2548; Harris County; Texas,2482,403
1400000US48201310101,Census Tract 3101.01; Harris County; Texas,2768,402
1400000US48201310102,Census Tract 3101.02; Harris County; Texas,2400,576
1400000US48201310200,Census Tract 3102; Harris County; Texas,2129,289
1400000US48201310300,Census Tract 3103; Harris County; Texas,4058,449
1400000US48201310400,Census Tract 3104; Harris County; Texas,3018,518
1400000US48201310500,Census Tract 3105; Harris County; Texas,3409,726
1400000US48201310600,Census Tract 3106; Harris County; Texas,4598,688
